"repo_name","pr_closed_decred","pr_closed_other","pr_closed_internal","pr_merged_decred","pr_merged_internal","pr_merged_other","pr_commits","pr_additions","pr_deletions","forked","pushes","firstevent","lastevent","duration","durationdays","dcr_pr_merged","dcr_pr_commits","dcr_pr_additions","dcr_pr_deletions"
"hybridnetwork/base58",0,0,0,0,0,0,0,0,0,1,0,"2018-04-13 01:06:36 UTC","2018-04-13 01:06:36 UTC",0,0,NA,NA,NA,NA
"sensecollective/dcrd",0,0,0,0,0,0,0,0,0,1,0,"2018-02-20 08:08:01 UTC","2018-02-20 08:08:01 UTC",0,0,NA,NA,NA,NA
"wakiyamap/atomicswap",0,1,0,0,0,0,2,2492,0,1,1,"2018-02-19 16:02:08 UTC","2018-03-15 01:52:33 UTC",2022625,46.8200231481481,NA,NA,NA,NA
"hybridnetwork/bitcore",0,2,1,0,1,2,6,212,80,2,3,"2018-02-15 22:32:51 UTC","2018-06-05 22:56:02 UTC",9501791,219.948865740741,0,2,206,80
"hybridnetwork/gominer",0,0,0,0,0,0,0,0,0,1,0,"2018-04-12 05:59:20 UTC","2018-04-13 01:08:39 UTC",68959,1.59627314814815,NA,NA,NA,NA
"hybridnetwork/insight",0,12,0,0,0,12,128,14359,2246,4,11,"2018-02-21 18:13:57 UTC","2018-04-13 01:09:47 UTC",4341350,100.494212962963,NA,NA,NA,NA
"raedahgroup/dcrwallet",0,2,1,0,0,1,94,16113,5080,1,82,"2018-03-07 19:51:34 UTC","2018-11-29 13:40:38 UTC",23046544,533.484814814815,1,94,45388,9119
"cryptobotai/atomicswap",0,0,0,0,0,0,0,0,0,1,0,"2018-03-16 07:07:01 UTC","2018-03-16 07:07:01 UTC",0,0,NA,NA,NA,NA
"bank2bank/decred-binaries",0,0,0,0,0,0,0,0,0,1,0,"2018-09-28 22:55:11 UTC","2018-09-28 22:55:11 UTC",0,0,NA,NA,NA,NA
"hybridnetwork/insight-api",0,5,2,0,2,4,30,1708,625,2,7,"2018-02-15 22:30:48 UTC","2018-04-13 01:09:16 UTC",4844308,112.136759259259,NA,NA,NA,NA
"hybridnetwork/testnetfaucet",0,0,0,0,0,0,0,0,0,1,3,"2018-02-26 07:23:27 UTC","2018-04-13 01:12:09 UTC",3948522,91.4009722222222,NA,NA,NA,NA
